행정구역코드,행정동코드,시군구명,행정동명,1인세대비율,기초생활수급자비율,외국인비율,노령층비율,장애인비율,차상위비율
1104067,11200670,성동구,성수2가1동,0.0020486445637497358,0.002213713261871902,0.002345053940902776,0.001939683480311449,0.005381926856448182,0.0009279808952744358
1104068,11200690,성동구,성수2가3동,0.0014305719780829823,0.0007402103719384173,0.0009743862299178531,0.001223156984322383,0.0020134738121770843,0.0017261742527482512
1104069,11200720,성동구,송정동,0.0015252271340004903,0.0019577526659679636,0.001715665706266842,0.001208756634524795,0.0021477053996555567,0.0071253358252540595
1104070,11200790,성동구,용답동,0.002527036838251735,0.0025180988353792886,0.0036014993426389547,0.0013540692552095447,0.0024288319319217913,0.005723630417007359
1105053,11215710,광진구,화양동,0.007649671546608967,0.002130699014551706,0.00871586151593984,0.0014007612984926325,0.002431364603383649,0.004607457591922023
1105054,11215730,광진구,군자동,0.00359126778045939,0.0024696738577758407,0.006387125047786884,0.001913064651897726,0.0027175564785735995,0.003419901621046347
1105055,11215740,광진구,중곡1동,0.0024037293108132517,0.002421248880172393,0.0016550579503389372,0.001632476017962909,0.001177692229763955,0.0035626679126270298
1105056,11215750,광진구,중곡2동,0.0026257851901008104,0.0022448436046169757,0.0016270851399106734,0.0021722709482543067,0.004011751595583021,0.0010512790561850252
1105057,11215760,광진구,중곡3동,0.0022333500301617375,0.0028812861674051477,0.0012098240510224063,0.001855463252707375,0.0018311214669233108,0.002277771288400888
1105058,11215770,광진구,중곡4동,0.0027301616863557917,0.003752935764267209,0.0016713754230887577,0.0033557178770742503,0.0014436227332590417,0.005496502225856273
1105059,11215780,광진구,능동,0.0019304535312257127,0.0009477459902389081,0.0010979328093093513,0.0010259158295190588,0.0018235234525377367,0.003919583641578735
1105063,11215810,광진구,광장동,0.0011578627991422708,0.0006987032482783191,0.0008624949882047983,0.002423186134121367,0.003530544017830007,0.0018494724136588405
1105064,11215820,광진구,자양1동,0.003355909014394235,0.003254850280346031,0.0042285565097392,0.00223947258064305,0.0028973761523655153,0.0036145829277472777
1105065,11215830,광진구,자양2동,0.002199069514234856,0.0021895007730701782,0.0017786045297304353,0.0026562099763005153,0.003945902137574714,0.002680112655582811
1105066,11215840,광진구,자양3동,0.0016357434241528236,0.0009684995520689571,0.001473234682555223,0.0027365028357779746,0.0021603687569648465,0.004516606315461589
1105067,11215847,광진구,자양4동,0.003017197051056991,0.0029331700719802704,0.013622758678564436,0.002305801464559212,0.0020919866274946813,0.006839803242092694
1105060,11215850,광진구,구의1동,0.0038261148970330982,0.002442002442002442,0.0027203558141486476,0.001984193652413084,0.0036521122479991897,0.00101883217173487
1105061,11215860,광진구,구의2동,0.0022338616796531833,0.0026841273300196814,0.0019767452702639703,0.002775776517044123,0.0014182960186404619,0.005392672195615777
1105062,11215870,광진구,구의3동,0.002207255906097992,0.0013870297156416136,0.001447592939662648,0.0026871925470771437,0.0023376557592949044,0.0019338343132292437
1106081,11230536,동대문구,용신동,0.00632808091020398,0.004987772693155129,0.005601555288259811,0.0034923030130331895,0.0021021173133421132,0.0008176614881439084
