시군구명,행정동명,전체세대,1인세대,기초생활수급자,외국인,행정구역코드,행정동코드,총인구수,노령층인구,노령층비율,장애인인구,장애인비율,차상위인구,차상위비율,cluster,1인세대비율,기초생활수급자비율,외국인비율
성동구,금호1가동,6533.0,2214.0,595.0,226.0,1104059,11200590,15520,3838,0.0016748043188830914,1767.0,0.004475230473103029,672,0.004360861270100845,2,0.0011327919740614174,0.002058061548146534,0.0005268212630656335
성동구,금호2·3가동,9943.0,3587.0,546.0,439.0,1104072,11200615,22880,5521,0.00240922215856007,1628.0,0.004123189139904771,1128,0.007320017131954989,2,0.001835286725816759,0.0018885741265344666,0.0010233386481673147
성동구,금호4가동,6298.0,2239.0,350.0,414.0,1104062,11200620,14435,3368,0.0014697084278265378,2042.0,0.00517171512511397,212,0.001375747900686576,2,0.001145583211347567,0.0012106244400861964,0.0009650619597750986
성동구,옥수동,10762.0,3195.0,375.0,769.0,1104073,11200645,26245,5926,0.002585953724257738,1114.0,0.002821396008509776,643,0.004172669340289945,2,0.0016347201251699316,0.0012970976143780676,0.0017925909349445672
성동구,성수1가1동,7636.0,3284.0,382.0,610.0,1104065,11200650,16750,3651,0.0015932023366967605,1245.0,0.00315317597001317,633,0.004107775571389635,2,0.0016802569299086245,0.0013213101031797916,0.0014219511967700727
성동구,성수1가2동,5935.0,2733.0,206.0,526.0,1104066,11200660,12904,2943,0.0012842493774030584,1420.0,0.0035963934758383143,1048,0.006800866980752508,2,0.0013983380601218852,0.0007125389561650184,0.0012261415237722268
성동구,성수2가1동,7925.0,4004.0,640.0,1006.0,1104067,11200670,16135,4445,0.001939683480311449,2125.0,0.005381926856448182,143,0.0009279808952744358,2,0.0020486445637497358,0.002213713261871902,0.002345053940902776
성동구,성수2가3동,5332.0,2796.0,214.0,418.0,1104068,11200690,11045,2803,0.001223156984322383,795.0,0.0020134738121770843,266,0.0017261742527482512,2,0.0014305719780829823,0.0007402103719384173,0.0009743862299178531
성동구,송정동,5458.0,2981.0,566.0,736.0,1104069,11200720,10613,2770,0.001208756634524795,848.0,0.0021477053996555567,1098,0.0071253358252540595,2,0.0015252271340004903,0.0019577526659679636,0.001715665706266842
성동구,용답동,7326.0,4939.0,728.0,1545.0,1104070,11200790,11747,3103,0.0013540692552095447,959.0,0.0024288319319217913,882,0.005723630417007359,2,0.002527036838251735,0.0025180988353792886,0.0036014993426389547
