CTY_NM,ADMI_NM,RSPOP_CNT,노령층인구,장애인인구,차상위인구,노령층비율,장애인비율,차상위비율
강서구,우장산동,5995794,980777,1245.0,633,0.16357750116164765,0.0002076455595372356,0.0001055740073791728
강서구,화곡1동,7179234,1437321,1420.0,1048,0.20020534224124747,0.0001977926893036221,0.0001459765763311239
강서구,화곡2동,2671093,500139,2125.0,143,0.1872413278010163,0.0007955544790091547,5.353613670508665e-05
강서구,화곡3동,3134840,694327,795.0,266,0.2214872210383943,0.00025360145972362223,8.485281545469625e-05
강서구,화곡4동,3047074,644268,848.0,1098,0.211438251909865,0.0002782997721748799,0.00036034569557549307
강서구,화곡6동,3452205,675054,959.0,882,0.1955428487010476,0.00027779346823262235,0.00025548888319204684
강서구,화곡8동,3606125,744266,960.0,710,0.20638940691185137,0.00026621373357828694,0.0001968872404589414
강서구,화곡본동,4899939,848383,1073.0,527,0.1731415431906397,0.00021898231794314173,0.00010755235932528956
관악구,낙성대동,2378409,353478,465.0,549,0.14861951834188317,0.00019550884645996546,0.00023082657356241084
관악구,난곡동,4001866,914536,1584.0,162,0.22852739197164523,0.00039581535213822753,4.048111555959145e-05
관악구,난향동,2283027,472864,723.0,351,0.20712151017048858,0.0003166848223871203,0.00015374325402196294
관악구,남현동,2519771,473816,570.0,847,0.18803930992141746,0.0002262110326692386,0.0003361416573172721
관악구,대학동,3221391,502884,720.0,604,0.15610771868425782,0.00022350593268560072,0.0001874966435306984
관악구,미성동,4465974,975867,1394.0,285,0.2185115721676839,0.00031213795691600535,6.381586637091931e-05
관악구,보라매동,3486002,757702,1144.0,557,0.21735558384648088,0.0003281696338671062,0.00015978189341256833
관악구,삼성동,3596344,979811,1558.0,413,0.27244640668412146,0.0004332177344547685,0.00011483884745174544
관악구,서림동,3326840,609800,853.0,696,0.18329706267809692,0.0002563994661600798,0.00020920753628067475
관악구,서원동,3180364,573607,826.0,1054,0.180358914891503,0.00025971869886591597,0.0003314086060589291
관악구,성현동,4467471,950544,1442.0,157,0.21277004372272365,0.00032277769682220655,3.514292538216812e-05
관악구,신림동,2841210,344309,560.0,831,0.12118393219790159,0.00019709912326086422,0.00029248102041031816
관악구,신사동,3228406,596599,923.0,298,0.18479676967518954,0.0002858996049443595,9.230561459742053e-05
관악구,신원동,2576939,552943,830.0,126,0.21457356964988306,0.0003220875620261093,4.889522025938526e-05
관악구,은천동,4805049,982388,1688.0,271,0.204449111757237,0.00035129714598123766,5.639900862613472e-05
관악구,인헌동,3736367,682897,913.0,719,0.18277032208024532,0.0002443550111645885,0.00019243291678788514
관악구,조원동,2457170,491578,728.0,477,0.200058604003793,0.00029627579695340575,0.00019412576256425075
관악구,중앙동,2066213,413258,597.0,548,0.2000074532490116,0.0002889343935015412,0.00026521951028282177
관악구,청룡동,4390481,756389,1011.0,377,0.17227930151616644,0.0002302708974255896,8.586758489559573e-05
관악구,청림동,2235666,462835,659.0,344,0.20702332101485643,0.0002947667495949753,0.000153869137876588
관악구,행운동,4065079,750358,1111.0,510,0.18458632661259475,0.0002733034216555201,0.00012545881642152587
광진구,광장동,4941038,650631,739.0,175,0.13167901157611012,0.00014956371515458897,3.541765920440199e-05
광진구,구의1동,3094372,548379,838.0,429,0.17721818837554115,0.00027081423952905466,0.0001386387932672607
광진구,구의2동,3638086,728793,1149.0,323,0.20032319192014703,0.00031582540929488747,8.878294795670031e-05
광진구,구의3동,4045537,702557,809.0,615,0.17366223569330846,0.00019997345222649057,0.00015201937344782657
광진구,군자동,2796617,525060,793.0,317,0.1877482687118043,0.00028355688319137016,0.00011335123829970283
광진구,능동,1554057,277920,381.0,219,0.17883513925164907,0.00024516475264420805,0.00014092147199234006
광진구,자양1동,3167291,601375,920.0,196,0.18987046027662124,0.0002904690475235777,6.188253621154481e-05
광진구,자양2동,3697093,699902,970.0,297,0.1893114400963135,0.0002623682985524032,8.033338625779768e-05
광진구,자양3동,4114567,712833,841.0,185,0.17324617632912528,0.00020439574808236202,4.496220379933053e-05
광진구,자양4동,2927015,679784,893.0,332,0.23224479546568774,0.000305088972895595,0.00011342613549981808
광진구,중곡1동,2192909,439426,693.0,162,0.2003849680948913,0.0003160185853585352,7.387447449939783e-05
광진구,중곡2동,3053141,569271,898.0,389,0.1864542122358581,0.00029412333069452084,0.00012740977242780467
광진구,중곡3동,2412550,491539,760.0,577,0.2037425131085366,0.0003150193778367288,0.0002391660276470954
