CTY_NM,ADMI_NM,RSPOP_CNT,노령층인구,노령층비율,장애인인구,장애인비율,차상위인구,차상위비율,ADM_CD
강북구,삼양동,3824646,894046,0.2337591505200743,1418.0,0.0003707532670997525,628,0.0001641982029186492,39010610
강북구,송중동,4215057,1031110,0.244625398897334,1432.0,0.00033973443301003994,557,0.00013214530669454768,11090710
강북구,송천동,4012236,1050893,0.26192203050867396,1534.0,0.00038233045114993236,815,0.00020312862952229132,11090720
강북구,수유1동,3025667,749160,0.24760160321674526,1293.0,0.0004273437889893369,1035,0.0003420733345738312,11090630
강북구,수유2동,3047533,797268,0.26161094892163594,1116.0,0.00036619783936712086,2,6.562685293317579e-07,11090640
강북구,수유3동,3245832,784063,0.2415599451850866,1094.0,0.00033704763524421475,3,9.242622538689617e-07,11090650
강북구,우이동,2925915,791525,0.2705222127095285,1003.0,0.00034279874842570613,8,2.7341874251302585e-06,11090740
강북구,인수동,4448658,1174019,0.263904080736258,1821.0,0.0004093369281252908,478,0.00010744813379675398,11090750
강서구,가양1동,3918229,539906,0.13779337552756615,821.0,0.00020953343972493696,847,0.00021616909067846723,11160640
강서구,가양1동,3918229,539906,0.13779337552756615,821.0,0.00020953343972493696,847,0.00021616909067846723,25010630
강서구,가양2동,2191697,666253,0.30398955695061863,2451.0,0.0011183115184261328,809,0.0003691203665470181,11160650
강서구,가양2동,2191697,666253,0.30398955695061863,2451.0,0.0011183115184261328,809,0.0003691203665470181,25010640
강서구,가양3동,2310829,596308,0.25804938400894223,1691.0,0.0007317720177477434,727,0.0003146057107644053,11160660
강서구,공항동,3422863,658165,0.19228493807669195,1095.0,0.0003199076328792593,792,0.0002313852467948615,11160690
강서구,등촌1동,3180762,491319,0.15446581668166307,736.0,0.00023139109433525676,767,0.00024113718662383416,11160520
강서구,등촌2동,2952469,553565,0.1874922310784635,732.0,0.00024792809001550906,633,0.00021439683193964104,11160530
강서구,등촌3동,4660319,1092219,0.2343657161666401,3861.0,0.0008284840587092858,3,6.437327573498724e-07,11160540
강서구,발산1동,5099063,781571,0.15327737664743502,1491.0,0.00029240666373410174,2,3.922289251966489e-07,11160670
강서구,방화1동,5640483,1071188,0.1899106867266509,1767.0,0.0003132710443414154,672,0.00011913873333187955,11160700
강서구,방화2동,3355230,813646,0.24250081216488883,1628.0,0.00048521263817979693,1128,0.00033619155765774627,11160710
강서구,방화3동,3449331,841994,0.24410356674961028,2042.0,0.0005919988542705817,212,6.146119348940417e-05,11160720
강서구,염창동,5729041,783167,0.1367012384795291,1114.0,0.00019444790148997015,643,0.0001122351891005842,11160510
강서구,우장산동,5995794,980777,0.16357750116164765,1245.0,0.0002076455595372356,633,0.0001055740073791728,11160740
강서구,화곡1동,7179234,1437321,0.20020534224124747,1420.0,0.0001977926893036221,1048,0.0001459765763311239,11160730
강서구,화곡2동,2671093,500139,0.1872413278010163,2125.0,0.0007955544790091547,143,5.353613670508665e-05,11160570
강서구,화곡3동,3134840,694327,0.2214872210383943,795.0,0.00025360145972362223,266,8.485281545469625e-05,11160580
강서구,화곡4동,3047074,644268,0.211438251909865,848.0,0.0002782997721748799,1098,0.00036034569557549307,11160590
강서구,화곡6동,3452205,675054,0.1955428487010476,959.0,0.00027779346823262235,882,0.00025548888319204684,11160610
강서구,화곡8동,3606125,744266,0.20638940691185137,960.0,0.00026621373357828694,710,0.0001968872404589414,11160630
강서구,화곡본동,4899939,848383,0.1731415431906397,1073.0,0.00021898231794314173,527,0.00010755235932528956,11160550
관악구,낙성대동,2378409,353478,0.14861951834188317,465.0,0.00019550884645996546,549,0.00023082657356241084,11210580
관악구,난곡동,4001866,914536,0.22852739197164523,1584.0,0.00039581535213822753,162,4.048111555959145e-05,11210810
관악구,난향동,2283027,472864,0.20712151017048858,723.0,0.0003166848223871203,351,0.00015374325402196294,11210710
관악구,남현동,2519771,473816,0.18803930992141746,570.0,0.0002262110326692386,847,0.0003361416573172721,11210630
관악구,남현동,2519771,473816,0.18803930992141746,570.0,0.0002262110326692386,847,0.0003361416573172721,33030700
관악구,대학동,3221391,502884,0.15610771868425782,720.0,0.00022350593268560072,604,0.0001874966435306984,11210730
관악구,미성동,4465974,975867,0.2185115721676839,1394.0,0.00031213795691600535,285,6.381586637091931e-05,11210830
관악구,미성동,4465974,975867,0.2185115721676839,1394.0,0.00031213795691600535,285,6.381586637091931e-05,35020730
관악구,보라매동,3486002,757702,0.21735558384648088,1144.0,0.0003281696338671062,557,0.00015978189341256833,11210520
관악구,삼성동,3596344,979811,0.27244640668412146,1558.0,0.0004332177344547685,413,0.00011483884745174544,11210820
관악구,삼성동,3596344,979811,0.27244640668412146,1558.0,0.0004332177344547685,413,0.00011483884745174544,25010800
관악구,삼성동,3596344,979811,0.27244640668412146,1558.0,0.0004332177344547685,413,0.00011483884745174544,35030700
관악구,삼성동,3596344,979811,0.27244640668412146,1558.0,0.0004332177344547685,413,0.00011483884745174544,38100520
관악구,서림동,3326840,609800,0.18329706267809692,853.0,0.0002563994661600798,696,0.00020920753628067475,11210660
관악구,서원동,3180364,573607,0.180358914891503,826.0,0.00025971869886591597,1054,0.0003314086060589291,11210640
관악구,성현동,4467471,950544,0.21277004372272365,1442.0,0.00032277769682220655,157,3.514292538216812e-05,11210790
관악구,신림동,2841210,344309,0.12118393219790159,560.0,0.00019709912326086422,831,0.00029248102041031816,11210690
관악구,신원동,2576939,552943,0.21457356964988306,830.0,0.0003220875620261093,126,4.889522025938526e-05,11210650
관악구,은천동,4805049,982388,0.204449111757237,1688.0,0.00035129714598123766,271,5.639900862613472e-05,11210780
관악구,인헌동,3736367,682897,0.18277032208024532,913.0,0.0002443550111645885,719,0.00019243291678788514,11210620
관악구,조원동,2457170,491578,0.200058604003793,728.0,0.00029627579695340575,477,0.00019412576256425075,11210720
관악구,중앙동,2066213,413258,0.2000074532490116,597.0,0.0002889343935015412,548,0.00026521951028282177,11210610
관악구,중앙동,2066213,413258,0.2000074532490116,597.0,0.0002889343935015412,548,0.00026521951028282177,21010510
관악구,중앙동,2066213,413258,0.2000074532490116,597.0,0.0002889343935015412,548,0.00026521951028282177,24040540
관악구,중앙동,2066213,413258,0.2000074532490116,597.0,0.0002889343935015412,548,0.00026521951028282177,25010760
관악구,중앙동,2066213,413258,0.2000074532490116,597.0,0.0002889343935015412,548,0.00026521951028282177,26010670
관악구,중앙동,2066213,413258,0.2000074532490116,597.0,0.0002889343935015412,548,0.00026521951028282177,31022620
관악구,중앙동,2066213,413258,0.2000074532490116,597.0,0.0002889343935015412,548,0.00026521951028282177,31070510
